station_id,station_name,lat,lon,capacity
7015,King St W / Bay St (West Side),43.64852,-79.380576,19
7228,Queen St W / Roncesvalles Ave,43.638399,-79.4464436,19
7445,Eastwood Rd / Coxwell Ave - SMART,43.673118,-79.318651,19
7226,Lakeshore Blvd W / The Boulevard Club,43.636731,-79.444966,19
7225,Lakeshore Blvd W / Windermere Ave,43.634896,-79.467763,19
7224,Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569,19
7446,Orchard Park,43.66908,-79.3149,19
7221,High Park Subway Station,43.6543604,-79.4655296,19
7220,Lakeshore Blvd W / Ellis Ave,43.635932,-79.465083,19
7217,Soho St / Queen St W,43.6494896,-79.393535,19
7509,Ontario St / King St E,43.651814,-79.366194,19
7096,Boston Ave / Queen St E,43.661508,-79.338931,19
7448,Goodwood Park Ct / Dentonia Park - SMART,43.694826,-79.295208,19
7209,Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,19
7478,Ellis Ave / The Queensway,43.63855,-79.46693,19
7177,East Liberty St / Pirandello St,43.6386111111111,-79.4147222222222,19
7173,Cariboo St / Rail Path,43.66666667,-79.45833333333334,19
7404,Roehampton Ave / Mount Pleasant Rd - SMART,43.70942,-79.39139,19
7172,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,19
7354,Tommy Thompson Park (Leslie Street Spit),43.651737,-79.32325,19
7357,Lakeshore Blvd E /Leslie St,43.659195,-79.329196,19
7007,College St / Huron St,43.658148,-79.398167,19
7361,Hocken Ave./Vaughan Rd.,43.6817346,-79.4184725,19
7362,St Clair Ave W / Bathurst St.,43.683296,-79.418734,19
7364,Queen St E / Nursewood Rd (Neville Park Loop),43.673831,-79.281455,19
7365,Kew Beach Ave / Kenilworth Ave,43.666325,-79.3014,19
7239,Bloor St W / Manning Ave - SMART,43.663912,-79.416124,19
7372,King St W / Portland St,43.6442859,-79.40074,19
7351,Pretoria Av / Broadview Av,43.6783213,-79.35822,19
7403,Lascelles Blvd / Eglinton Ave W - SMART,43.70547,-79.40355,19
7374,Frederick St / The Esplanade,43.6487245,-79.36839,19
7376,Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,19
7118,King St W / Bay St (East Side),43.648575,-79.380042,19
7381,Roehampton Ave / Yonge St,43.7080145,-79.39826,19
7013,Scott St / The Esplanade,43.64656,-79.375274,19
7399,Lower Jarvis / Queens Quay E,43.64422,-79.36927,19
7466,Glendonwynne Ave / Bloor St W - SMART,43.65182,-79.47421,19
7124,Dundas St E / Broadview Ave,43.662365,-79.351104,19
7352,Cosburn Ave / Donlands Ave,43.690537,-79.341307,19
7079,McGill St / Church St,43.660694,-79.379052,19
7150,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,19
7008,Wellesley St / Queen's Park Cres,43.663376,-79.392125,19
7336,Queen St E / Alton Av,43.663912,-79.327987,19
7036,Trinity St /Front St E,43.651318,-79.36023,19
7060,Princess St / Adelaide St E,43.652123,-79.367139,19
7331,Coxwell Ave / Plains Rd,43.69595,-79.328535,19
7409,Isabella St / Church St - SMART,43.66834,-79.38235,19
7039,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,19
7329,Crawford St / Queen St W,43.645665,-79.415345,19
7333,King St W / Charlotte St (East),43.6456754,-79.393645,19
7436,Shaw St / Dupont St - SMART,43.67072,-79.42677,19
7155,Bathurst St / Lennox St,43.663808,-79.410491,19
7040,Euclid Ave / Bloor St W,43.664467,-79.414783,19
7153,Bloor St W / Christie St,43.6638889,-79.41888888888889,19
7112,Liberty St / Fraser Ave Green P,43.637981,-79.424146,19
7043,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,19
7061,Dalton Rd / Bloor St W,43.6662942,-79.4066433,19
7468,Front St / Simcoe St,43.6442,-79.38702,18
7434,Via Italia / Mackay Ave - SMART,43.676697,-79.445029,18
7251,The Royal Ontario Museum (Bloor St Entrance),43.668561,-79.394403,18
7505,Ontario St / Adelaide St E -SMART,43.652458,-79.366433,18
7321,Front St W / University Ave (2),43.6452972,-79.3827914,18
7410,Howard St / Rose Ave - SMART,43.671278,-79.372127,18
7353,Fulton Ave / Pape Ave,43.68395,-79.347046,18
7271,Yonge St / Alexander St - SMART,43.662862,-79.383572,18
7348,Pape Ave / Gamble Ave,43.690237,-79.350119,18
7303,Queen St. E / Woodward Av,43.665269,-79.319796,18
7508,Berkeley St / Dundas St E - SMART,43.658816,-79.367318,18
7286,Gerrard St E / Broadview - SMART,43.665656,-79.352055,18
7283,Front St W / Bay St (South Side),43.64595,-79.378761,18
7252,Robert St / Bloor St W - SMART,43.665846,-79.404998,18
7151,Essex St / Christie St,43.6686111,-79.42027777777778,18
7230,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,18
7231,Wright / Sorauren (Sorauren Park) - SMART,43.646677,-79.442741,18
7072,Fleet St / Bathurst St,43.636611,-79.400042,18
7077,College Park South,43.659777,-79.382767,18
7005,King St W / York St,43.6480008,-79.383177,18
7146,Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,18
7126,Yonge St / Yorkville Ave,43.671944,-79.387778,17
7491,D'Arcy St / Spadina Ave - SMART,43.654074,-79.398115,17
7328,Roxborough St W / Yonge St,43.678077,-79.390328,17
7167,Queen St E / George St (Moss Park),43.6544444,-79.3711111111111,17
7358,Gailbraith Rd / King’s College Cr. (U of T),43.660382,-79.3954,17
7360,Concord Av / Dewson St,43.656945,-79.424911,17
7473,Adelaide St W / Strachan Ave,43.643253094827294,-79.41230469904167,17
7475,Jarvis St / Richmond St E,43.652777,-79.372637,17
