trip_id,trip_start_time,trip_stop_time,trip_duration_seconds,from_station_id,from_station_name,to_station_id,to_station_name,user_type,origin_lat,origin_lon,destination_lat,destination_lon
712502,2017/1/1 8:37,2017/1/1 8:51,861,7037,Bathurst St / Dundas St W,7028,Gould St / Mutual St,Member,43.6523,-79.4058,43.6582,-79.3768
712503,2017/1/1 8:47,2017/1/1 8:54,433,7002,St George St / Bloor St W,7025,Ted Rogers Way / Bloor St E,Member,43.667333,-79.399429,43.671293,-79.380471
712504,2017/1/1 9:01,2017/1/1 9:09,503,7042,Sherbourne St / Wellesley St,7050,Richmond St E / Jarvis St Green P,Member,43.6673,-79.374,43.652634,-79.374222
712505,2017/1/1 9:10,2017/1/1 9:25,912,7197,Queen St W / Dovercourt Rd,7023,College St W / Borden St,Member,43.64361111,-79.4225,43.6571,-79.4056
712506,2017/1/1 9:22,2017/1/1 9:43,1299,7093,Danforth Ave / Gough Ave,7034,Church St / Bloor St E,Member,43.678401,-79.346289,43.671389,-79.382919
712507,2017/1/1 9:22,2017/1/1 9:26,257,7065,Dundas St E / Parliament St,7121,Jarvis St / Dundas St E,Member,43.659575,-79.365769,43.657266,-79.374756
712508,2017/1/1 9:43,2017/1/1 10:02,1145,7034,Church St / Bloor St E,7189,Augusta Ave / Denison Sq,Member,43.671389,-79.382919,43.653766,-79.4016759
712509,2017/1/1 9:54,2017/1/1 10:05,662,7163,Yonge St / Wood St,7005,University Ave / King St W,Member,43.6622222,-79.3825,43.6480008,-79.383177
712510,2017/1/1 9:57,2017/1/1 10:03,359,7100,Dundas St E / Regent Park Blvd,7100,Dundas St E / Regent Park Blvd,Member,43.660207,-79.361275,43.660207,-79.361275
712511,2017/1/1 9:59,2017/1/1 10:08,522,7030,Bay St / Wellesley St W,7027,Beverly  St / Dundas St W,Member,43.664088,-79.387095,43.652823,-79.393388
712512,2017/1/1 10:11,2017/1/1 10:24,763,7020,Phoebe St / Spadina Ave,7203,Bathurst St / Queens Quay W,Member,43.650033,-79.396555,43.635492,-79.398253
712513,2017/1/1 11:14,2017/1/1 11:24,615,7004,University Ave / Elm St,7042,Sherbourne St / Wellesley St,Member,43.656518,-79.389099,43.6673,-79.374
712514,2017/1/1 11:22,2017/1/1 11:31,559,7101,Lower Sherbourne St / The Esplanade,7043,Queens Quay W / Lower Simcoe St,Member,43.648655,-79.367061,43.63951,-79.383717
712515,2017/1/1 11:28,2017/1/1 11:41,797,7196,Roxton Rd / Harbord St,7053,Metro Hall Plaza,Member,43.65905,-79.422988,43.645859,-79.38783
712516,2017/1/1 11:29,2017/1/1 11:38,547,7067,Yonge St / Harbour St,7077,College Park South,Member,43.643795,-79.375413,43.659777,-79.382767
712517,2017/1/1 11:47,2017/1/1 11:50,155,7006,Bay St / College St (East Side),7012,Elizabeth St / Edward St (Bus Terminal),Member,43.660439,-79.385525,43.656026,-79.385327
712518,2017/1/1 12:01,2017/1/1 12:10,563,7064,51 Parliament St,7033,Union Station,Member,43.65205,-79.362198,43.645609,-79.380386
712519,2017/1/1 12:06,2017/1/1 12:16,555,7027,Beverly  St / Dundas St W,7026,Bay St / St. Joseph St,Member,43.652823,-79.393388,43.665527,-79.387499
712520,2017/1/1 12:21,2017/1/1 12:27,342,7057,Simcoe St / Wellington St W,7168,Queens Quay / Yonge St,Member,43.6458569,-79.3853654,43.641646,-79.375308
712521,2017/1/1 12:23,2017/1/1 12:28,291,7120,Gerrard St E / River St,7104,King St E / River St,Member,43.663993,-79.358534,43.657071,-79.356598
712522,2017/1/1 12:36,2017/1/1 12:40,252,7047,University Ave / Gerrard St W,7164,Victoria St / Gould St (Ryerson University),Member,43.657763,-79.389165,43.657424,-79.381019
712523,2017/1/1 12:43,2017/1/1 12:47,276,7009,King St E / Jarvis St,7036,Trinity St /Front St E,Member,43.650325,-79.372287,43.651318,-79.36023
712524,2017/1/1 12:52,2017/1/1 12:56,281,7073,Bremner Blvd / Spadina Ave,7017,Widmer St / Adelaide St ,Member,43.640114,-79.393249,43.6475076,-79.3914841
